	dateiname	aktenzeichen	inAS	fundstelle	band	ersteSeite	letzteSeite	jahr	monat	tag	entscheidungsart	spruchkoerper	gruende	abwmeinungen	bvr	bvl	bvq	bvc	bve	bvf	bvo	bva	bvb	bvd	bvg	bvh	bvj	bvk	bvm	bvn	bvp	bvt	pbvs	pbvu	pbvv	vz	namenRichter	anzahlRichter	manuellErgaenzt
0	rk20241205_1bvr240624	1 BvR 2406/24	0					2024	12	5	Beschluss	I-3	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Christ, Wolff, Meßling	3	0
1	qk20250115_1bvq000325	1 BvQ 3/25	0					2025	1	15	Beschluss	I-1	1	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Harbarth, Härtel, Eifert	3	0
2	rk20230712_2bvr048214	2 BvR 482/14	0					2023	7	12	Beschluss	II-2	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Müller, Langenfeld, Fetzer	3	0
3	rk20250731_1bvr114025	1 BvR 1140/25	0					2025	7	31	Beschluss	I-3	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Christ, Wolff, Meßling	3	0
4	lk20240711_1bvl000122	1 BvL 1/22	0					2024	7	11	Beschluss	I-1	1	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Harbarth, Härtel, Eifert	3	0
5	cs20240408_2bvc002322	2 BvC 23/22	0					2024	4	8	Beschluss	II	1	0	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel	8	0
6	ls20241024_1bvl001020	1 BvL 10/20	1	BVerfGE 170, 178-247	170	178	247	2024	10	24	Beschluss	I	1	1	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling	8	datum, fundstelle
7	rk20231110_1bvr203623	1 BvR 2036/23	0					2023	11	10	Beschluss	I-1	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Harbarth, Härtel, Eifert	3	0
8	rk20240719_2bvr082924	2 BvR 829/24	0					2024	7	19	Beschluss	II-3	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Langenfeld, Fetzer, Offenloch	3	0
9	qk20240115_1bvq000124	1 BvQ 1/24	0					2024	1	15	Beschluss	I-1	1	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Harbarth, Härtel, Eifert	3	0
10	rk20241024_2bvr103124	2 BvR 1031/24	0					2024	10	24	Beschluss	II-1	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	König, Offenloch, Wöckel	3	0
11	rk20230419_1bvr235722	1 BvR 2357/22	0					2023	4	19	Beschluss	I-2	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Ott, Radtke, Wolff	3	0
12	rk20230216_1bvr188322	1 BvR 1883/22	0					2023	2	16	Beschluss	I-3	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Britz, Christ, Radtke	3	0
13	rk20251125_1bvr231725	1 BvR 2317/25	0					2025	11	25	Beschluss	I-2	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Ott, Härtel, Spinner	3	0
14	rk20250930_2bvr046025	2 BvR 460/25	0					2025	9	30	Beschluss	II-2	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Maidowski, Wallrabenstein, Frank	3	0
15	es20250313_2bve000225	2 BvE 2/25	1	BVerfGE 171, 240-244	171	240	244	2025	3	13	Beschluss	II	1	0	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel	8	fundstelle
16	rk20230731_2bvr101421	2 BvR 1014/21	0					2023	7	31	Beschluss	II-3	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	Kessal-Wulf, Wallrabenstein, Offenloch	3	0
