,dateiname,aktenzeichen,inAS,fundstelle,band,ersteSeite,letzteSeite,jahr,monat,tag,entscheidungsart,spruchkoerper,gruende,abwmeinungen,bvr,bvl,bvq,bvc,bve,bvf,bvo,bva,bvb,bvd,bvg,bvh,bvj,bvk,bvm,bvn,bvp,bvt,pbvs,pbvu,pbvv,vz,namenRichter,anzahlRichter,manuellErgaenzt
6,ls20241024_1bvl001020,1 BvL 10/20,1,"BVerfGE 170, 178-247",170,178,247,2024,10,24,Beschluss,I,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Harbarth, Ott, Christ, Radtke, Härtel, Wolff, Eifert, Meßling",8,"datum, fundstelle"
15,es20250313_2bve000225,2 BvE 2/25,1,"BVerfGE 171, 240-244",171,240,244,2025,3,13,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
24,rk20230904_2bvr123923,2 BvR 1239/23,0,,,,,2023,9,4,Beschluss,II-1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Langenfeld, Wallrabenstein",3,"html-layout"
50,es20250317_2bve001125,2 BvE 11/25,1,"BVerfGE 171, 261-263",171,261,263,2025,3,17,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
55,es20250219_2bve000319,2 BvE 3/19,1,"BVerfGE 171, 224-234",171,224,234,2025,2,19,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
83,ls20241015_2bvl000619,2 BvL 6/19,1,"BVerfGE 170, 157-177",170,157,177,2024,10,15,Beschluss,II,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Frank, Wöckel",7,"fundstelle"
85,es20241126_2bve000124,2 BvE 1/24,1,"BVerfGE 170, 289-293",170,289,293,2024,11,26,Beschluss,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Offenloch, Frank, Wöckel",7,"fundstelle"
89,es20240918_2bve000120,2 BvE 1/20; 2 BvE 10/21; 2 BvE 10/21,1,"BVerfGE 170, 1-51",170,1,51,2024,9,18,Urteil,II,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",7,"fundstelle"
100,ls20240927_2bvl000623,2 BvL 6/23,0,,,,,2024,9,27,Beschluss,II,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"datum"
107,qs20241210_2bvq007324,2 BvQ 73/24,1,"BVerfGE 171, 62-70",171,62,70,2024,12,10,Beschluss,II,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"König, Maidowski, Langenfeld, Wallrabenstein, Fetzer, Offenloch, Frank, Wöckel",8,"fundstelle"
123,rk20240515_1bvr80724,1 BvR 807/24,0,,,,,2024,5,15,Beschluss,I-2,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"Ott, Radtke, Wolff",3,"html-layout"
